Biomarker,Document IDs,Activity Context Summary,Effect Summary,Sport Implications,Relevance for Sports (1–10),Biomarker Groups,Occurrences in Dataset
"1,25-Dihydroxyvitamin D","30213095, 32664257","No athlete or exercise context reported. The studies involved: 
1. Postmenopausal women with osteopenia receiving potassium citrate, calcium, and vitamin D supplementation over 6 months.
2. Pregnant women with Type 1 Diabetes in a longitudinal observational study investigating preeclampsia risk prediction during the second and third trimesters.","For the study on postmenopausal women with osteopenia (ID: 30213095), no specific direction or magnitude of change for 1,25-dihydroxyvitamin D was reported, despite supplementation with vitamin D. 

For the observational study on pregnant women with Type 1 Diabetes (ID: 32664257), significantly higher concentrations of total, bioavailable, and free 1,25-dihydroxyvitamin D were observed in women who developed preeclampsia compared to normotensive T1DM women in the second and third trimesters. Lower concentrations were noted in normotensive T1DM women compared to non-diabetic controls. Higher 1,25-dihydroxyvitamin D levels at ~22 weeks gestation were associated with an increased odds of developing preeclampsia.","The provided findings do not directly support an athletic interpretation. Neither study involved athletic populations, exercise interventions, training load monitoring, or directly assessed performance, recovery, or adaptation in an athletic context. Therefore, these specific findings cannot be used to understand training stress, adaptation, performance, or recovery in athletes.",2,"endocrine_response, metabolic, inflammatory_changes",2
"1,25-Dihydroxyvitamin D / 25-Hydroxyvitamin D Ratio",32664257,"No athlete or exercise context reported. This was a longitudinal, prospective observational study investigating whether vitamin D metabolites could predict preeclampsia in pregnant women with Type 1 Diabetes. No therapeutic interventions or dose comparisons were involved, only biomarker collection at specific gestational visits.","In pregnant women with Type 1 Diabetes, elevated 1,25(OH)2D/25(OH)D ratios were observed in the third trimester (~32 weeks' gestation) in those who developed preeclampsia, compared to normotensive counterparts. While every unit increase in the ratio was initially associated with a 17% increase in preeclampsia odds, this association did not remain statistically significant after covariate adjustment.","The provided findings do not have an athletic context. The study population was pregnant women with Type 1 Diabetes, and the outcome investigated was preeclampsia. Therefore, these specific findings do not support an interpretation regarding training stress, adaptation, performance, or recovery in athletes.",1,"metabolic, endocrine_response",1
"1,25-Dihydroxyvitamin D / Vitamin D Binding Protein Ratio",32664257,"No athlete or exercise context reported. This longitudinal, prospective observational study investigated the predictive value of vitamin D metabolites and their ratios for preeclampsia in women with Type 1 Diabetes during pregnancy (second and third trimesters).","In women with Type 1 Diabetes, elevated 1,25(OH)2D/VDBP ratios were significantly associated with and predictive of subsequent preeclampsia (PE) in the second (~22 weeks) and third (~32 weeks) trimesters of pregnancy. Specifically, higher ratios were observed in T1DM women who developed PE compared to normotensive T1DM women. At ~22 weeks gestation, every unit increase in the ratio increased the odds of developing PE by almost three-fold (OR: 2.71, p=0.009), with similar odds at ~32 weeks (OR: 2.53, p=0.013).","The provided findings describe the association of the 1,25-Dihydroxyvitamin D / Vitamin D Binding Protein ratio with preeclampsia risk in pregnant women with Type 1 Diabetes. This context is entirely unrelated to athletic populations, training stress, adaptation, performance, or recovery in athletes. Therefore, these findings do not support an athletic interpretation.",1,"endocrine_response, inflammatory_changes",1
1-Acylglycerol-3-Phosphate O-Acyltransferase 9 (AGPAT9),29617451,No athlete or exercise context reported. The study focused on identifying diagnostic biomarkers in pancreatic ductal adenocarcinoma (PDAC) patients versus healthy controls.,"1-Acylglycerol-3-Phosphate O-Acyltransferase 9 (AGPAT9) gene expression was found to be higher (overexpressed) in peripheral blood mononuclear cells (PBMCs) of Pancreatic Ductal Adenocarcinoma (PDAC) patients compared to healthy controls. This overexpression was identified as a differentially expressed gene with high diagnostic potential for distinguishing PDAC patients, and it is associated with metastatic processes.","The provided findings describe AGPAT9's role and expression levels in the context of pancreatic ductal adenocarcinoma diagnosis and metastatic progression. There is no information linking AGPAT9 to exercise physiology, training load, recovery, adaptation, performance, or any other athletic context. Therefore, these findings do not support an athletic interpretation regarding training stress, adaptation, performance, or recovery in athletes.",1,metabolic,1
1-km Time Trial Completion Time,35674828,"Recreationally trained women, including naturally cycling women and oral contraceptive (OC) users, underwent an acute intervention involving oral N-acetylcysteine (NAC) supplementation (total dose of 105 mg·kg⁻¹ body mass) or a placebo. The exercise protocol consisted of 40 minutes of fixed-intensity cycling at 105% of the gas-exchange threshold (GET), immediately followed by an all-out 1-km cycling time trial.",Acute N-acetylcysteine (NAC) supplementation did not statistically change 1-km cycling time trial completion time compared to placebo. Completion times were statistically equivalent between the placebo and NAC trials for both naturally cycling women and women using oral contraceptives. There was also no significant difference in completion time between these two groups.,"1-km time trial completion time serves as a direct and practical performance diagnostic, reflecting anaerobic power and capacity crucial for short-to-medium duration cycling events. These findings indicate that acute high-dose N-acetylcysteine (NAC) supplementation, when administered prior to and during a combined fixed-intensity cycling and all-out 1-km time trial protocol, does not provide an ergogenic benefit for this specific performance metric in recreationally trained women, irrespective of their oral contraceptive use. Therefore, athletes and coaches should not expect performance improvements in similar cycling events from acute NAC supplementation under these conditions.",9,,1
1.10-kb PCR Product,27746115,"No athlete or exercise context reported. The study involves gene targeting using TALENs in human embryonic stem cells (H1 hESCs), followed by in vitro differentiation and in vivo mouse embryo analysis. The relevant activity context for this biomarker is the Cre recombinase-mediated removal of a selection cassette from these gene-edited H1 ESCs.","A 1.10-kb PCR product was successfully produced in genomic DNA from H1 cells after the Cre recombinase-mediated removal of a loxP-flanked PGK-puromycin cassette, indicating successful gene modification.","The findings pertain to the verification of successful genomic modification in human embryonic stem cells within a basic molecular biology research context on hematopoiesis. This biomarker, a specific PCR product confirming gene editing, offers no discernible insights into training stress, adaptation, performance, recovery, or any other aspect of exercise physiology in athletes.",1,,1
10-meter Sprint Performance,"31906239, 29462969","Female team-sport athletes participated in post-exercise nutritional interventions. Exercise protocols included either repeated simulated team games (involving intermittent running, sprints, agility, and jumps) or a protocol designed to induce muscle damage through repeated maximal sprinting and plyometric jumps. The nutritional intervention involved consuming 500 mL of either cow's milk or an energy-matched carbohydrate solution immediately post-exercise.","One study (ID: 31906239) reported that post-exercise consumption of 500 mL of cow's milk attenuated losses in 10m sprint performance (effect size = 0.30 to 0.53) following the first simulated team game, compared to an energy-matched carbohydrate solution. However, overall performance remained below baseline at 96 hours. For 15m sprint, within-group increases were observed for both milk and carbohydrate groups from the first to the second simulated team game, but between-group comparisons were unclear. Another study (ID: 29462969) found that the effect of post-exercise milk consumption versus an energy-matched carbohydrate drink on 10m sprint time was unclear following a protocol designed to induce muscle damage.","10-meter sprint performance is a direct measure of explosive power, acceleration, and short-distance speed, which are critical components of performance in many team sports. Monitoring this biomarker helps assess an athlete's recovery status and readiness for subsequent training or competition. The findings suggest that milk might contribute to attenuating initial decrements in 10m sprint performance after an acute bout of strenuous team-sport activity, potentially aiding in acute recovery. However, the evidence is inconsistent regarding milk's superior effect over an energy-matched carbohydrate solution for comprehensive or sustained recovery of sprint performance. Therefore, while 10m sprint performance is highly relevant for assessing recovery and performance capacity, the specific impact of milk as a recovery aid, beyond a basic carbohydrate solution, on this particular metric requires further clarification.",10,,2
17q11.2 Locus (near ATAD5),25581431,No athlete or exercise context reported. This study is a comprehensive meta-analysis of genome-wide association studies (GWAS) aimed at identifying genetic susceptibility loci for invasive epithelial ovarian cancer (EOC) in the general population and in BRCA1/2 mutation carriers.,"Genetic variants at the 17q11.2 locus (near ATAD5) are associated with a higher risk of invasive epithelial ovarian cancer (EOC). Specifically, lead SNPs and haplotypes show significant associations with EOC susceptibility, both in the general population and in BRCA1/2 mutation carriers. The ATAD5 gene itself functions as a tumor suppressor, involved in DNA replication, repair, and modulating DNA damage-related apoptosis.","The findings from this study identify genetic markers associated with an increased predisposition to epithelial ovarian cancer. This research focuses purely on disease susceptibility and risk prediction for cancer, without any reported athletic context. Therefore, these findings do not provide insights into training stress, adaptation, performance, or recovery in athletes.",1,cell_damage,1
18S Ribosomal RNA,29531353,"No athlete or exercise context reported. The study investigated a chemically defined, serum-free protocol for the in vitro transdifferentiation of pancreatic progenitor AR42J-B13 cells into functional hepatocyte-like cells over five days under various substratum and media conditions.",18S ribosomal RNA levels were reported as unchanged and were utilized as a stable housekeeping gene for normalization in quantitative gene expression analysis during the in vitro transdifferentiation process.,"The provided findings describe the use of 18S ribosomal RNA as a stable housekeeping gene for normalization in an in vitro study of pancreatic progenitor cell transdifferentiation. As such, these findings do not provide direct insight into training stress, adaptation, performance, or recovery in athletes. Its function as a stable internal control is crucial for accurate gene expression studies, which could be relevant to sports science research if applied in an athletic context, but this specific study offers no such application or interpretation.",1,,1
1RM Squat Strength,"34578906, 27468258","The studies involved healthy, well-trained participants and resistance-trained males. Interventions included a single bout of intensive resistance training designed to induce muscle damage, followed by a single dose of Cannabidiol (CBD) or placebo, and three consecutive days of high-intensity, high-volume resistance training (barbell back squat protocol) followed by post-exercise branched chain amino acid and carbohydrate (BCAA-CHO) or carbohydrate-only (CHO) supplementation.","Following an intensive resistance training protocol, 1RM Squat strength consistently decreased, indicating muscle fatigue and damage. One study observed that after a single intensive bout, 1RM Back Squat strength significantly decreased at 24 hours in both CBD and placebo groups. However, after 72 hours, the CBD group demonstrated significant recovery and a slight increase in performance compared to placebo, following an overall linear recovery trend. Another study involving three consecutive days of high-intensity resistance training found similar decrements in 1RM squat strength in both BCAA-CHO and CHO supplementation groups, with BCAA-CHO not mitigating these performance reductions.","1RM Squat strength serves as a critical performance diagnostic tool for assessing an athlete's maximal lower body strength and its recovery trajectory following intense training. Significant decreases in 1RM Squat performance directly indicate acute training stress, muscle damage, and neuromuscular fatigue. The rate of recovery of 1RM Squat strength can signal the effectiveness of recovery strategies and the athlete's adaptive response to training load. Sustained decrements suggest insufficient recovery or potential underrecovery, while a quicker return to baseline or an increase in 1RM indicates successful recovery and potential positive adaptation. The findings suggest that interventions like CBD might support faster maximal strength recovery after intense, damage-inducing exercise, whereas certain BCAA-CHO formulations may not be effective in attenuating performance decrements during periods of high training volume and insufficient recovery time.",10,,2
